Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Bribery incidence (percent of firms experiencing at least one bribe payment request),Bribery depth (% of public transactions where a gift or informal payment was requested),Percent of firms expected to give gifts in meetings with tax officials,Percent of firms expected to give gifts to secure government contract,Percent of firms expected to give gifts to get an operating license,Percent of firms expected to give gifts to get an import license,Percent of firms expected to give gifts to get a construction permit,Percent of firms expected to give gifts to get an electrical connection,Percent of firms expected to give gifts to get a water connection,"Percent of firms expected to give gifts to public officials ""to get things done""",Percent of firms identifying corruption as a major or very severe constraint,Real annual sales growth (%),Annual employment growth (%),Real annual labor productivity growth (%),Percent of firms buying fixed assets,Capacity utilization (%)*,Age of the establishment (years),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of private domestic ownership in a firm (%),Percent of firms with legal status of Sole Proprietorship,Senior management time spent dealing with the requirements of government regulation (%),Days to obtain an operating license,[B-READY] Days to obtain a construction-related permit [median],Days to obtain an import license,[B-READY] Days to receive payment under government contract,[B-READY] Percent of firms visited or inspected for health or safety,[B-READY] Percent of firms with a report issued for health or safety inspection,Percent of firms identifying business licensing and permits as a major or very severe constraint,Percent of firms identifying access to land as a major or very severe constraint,[B-READY] Perceptions index of access to land as a constraint,[B-READY] Percent of firms offering formal training over last fiscal year,Proportion of workers offered formal training over last fiscal year (%)*,Years of the top manager's experience working in the firm's sector,Percent of firms where the largest owner is also the top manager,Number of permanent full-time equivalent workers,"Proportion of permanent workers, out of all permanent full-time equivalent workers","Proportion of production workers, out of all permanent workers*","Proportion of skilled workers, out of all permanent production workers (%)*",Proportion of permanent full time workers that completed high school,[B-READY] Weeks to dismiss a full-time permanent worker,[B-READY] Weeks paid in severance,[B-READY] Percent of firms involved in labor dispute over last 3 years,[B-READY] Months to resolve labor dispute,Percent of firms identifying labor regulations as a major or very severe constraint,[B-READY] Perceptions index of labor regulations as a constraint,Percent of firms identifying an inadequately educated workforce as a major or very severe constraint,Management practices index,Score on action when a problem arose,Score on number of performance indicators monitored,Score on time focus of production/service provision targets,Score on achievability of production/service provision targets,Score on knowledge of production/service provision targets,Score on basis of managers' performance bonuses,Score on extent to which non-managers are promoted based on performance,Score on extent to which under-performing non-managers are reassigned or dismissed,Percent of firms competing against unregistered or informal firms,Percent of firms formally registered when they started operations,Number of years firm operated without formal registration,Percent of firms identifying practices of competitors in the informal sector as a major or very severe constraint
Albania,2007,Location,NA,Tirana,Average,25.9,22.4,22.3,47.5,10.5,28.6,32.1,32.3,61.1,55.1,38.4,12.6,14.3,0.4,47.1,69.4,7.8,16.2,0,85,19.6,20.8,20.8,90,31.4,NA,NA,NA,11.7,21.3,70.4,18.6,48.3,13.5,NA,25.6,96.3,69.7,71.4,NA,NA,NA,NA,NA,9.4,78.7,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,89.8,0.2,44.8
Albania,2007,Location,NA,Vlora,Average,31,18,8.8,NA,NA,NA,47.8,NA,NA,24.6,47.1,NA,NA,NA,78.3,85.5,6.8,20.9,0,79.1,14.5,7.9,NA,NA,NA,NA,NA,NA,0,80.5,26,0,NA,13.6,NA,29.3,93.6,84.8,62.7,NA,NA,NA,NA,NA,7.8,67.8,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.6,82.5,0.4,52.1
Albania,2007,Ownership Type,NA,10% or more foreign ownership,Average,27,22.5,23.6,1,14.5,NA,NA,14.6,NA,41.3,43.3,NA,15.2,NA,44.4,86,8,100,0.2,11.7,2.8,18.9,4.6,NA,NA,NA,NA,NA,10.3,27.6,70.7,20.4,48.3,13.7,NA,49.5,98.3,76.2,68.1,NA,NA,NA,NA,NA,7,82.3,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,82.4,0.2,36.6
Albania,2007,Ownership Type,NA,Domestic,Average,26.4,22.5,22.2,67.8,9.6,19.3,31.8,26.8,27.4,60.6,36.9,16.2,16.5,2,49.2,68.7,7.7,0,0,100,21.7,18.6,25.5,60,24.4,NA,NA,NA,10.7,22.6,67.8,19.8,57.5,13.3,NA,20,96,71.1,72.2,NA,NA,NA,NA,NA,9.4,77.1,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8,90.7,0.3,49.3
Albania,2007,Sector,Manufacturing,All,Average,22.6,17,16.8,43.5,13,18,11.3,19.9,33.2,56.8,38.8,11,15.1,-1.7,60,73.1,8.8,23.5,0,79.2,16.4,18.1,16.9,30,30.1,NA,NA,NA,10.3,25,67.2,19.9,54.9,14.7,NA,40.8,97.2,72.3,71.3,NA,NA,NA,NA,NA,9.3,75.5,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,79.3,0.4,51
Albania,2007,Sector,Manufacturing,Manufacturing,Average,22.6,17,16.8,43.5,13,18,11.3,19.9,33.2,56.8,38.8,11,15.1,-1.7,60,73.1,8.8,23.5,0,79.2,16.4,18.1,16.9,30,30.1,NA,NA,NA,10.3,25,67.2,19.9,54.9,14.7,NA,40.8,97.2,72.3,71.3,NA,NA,NA,NA,NA,9.3,75.5,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,79.3,0.4,51
Albania,2007,Sector,Services,All,Average,28.4,25.2,25.1,47.8,9.9,23.3,36.6,31,23.4,58.3,37.5,17.9,16.9,2.5,42.1,NA,7.2,12.8,0.1,88.7,19.7,18.9,22.8,60,17.7,NA,NA,NA,10.9,22.7,68.9,NA,NA,12.6,NA,16.1,95.9,NA,NA,NA,NA,NA,NA,NA,8.8,79.2,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3,94.8,0.2,45.1
Albania,2007,Sector,Services,Other Services,Average,24.6,22,22.2,36.4,9.3,0,11.4,3.4,4.8,65.6,38.6,4.7,14.4,-11.2,54.3,NA,8.3,17.1,0.2,84.8,15.6,20.1,18.3,1,18.7,NA,NA,NA,12.9,20.5,70.2,NA,NA,13.1,NA,22.1,98.2,NA,NA,NA,NA,NA,NA,NA,4.1,82.8,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4,95.1,0.2,60.1
Albania,2007,Sector,Services,Retail,Average,30.7,27.1,26.9,66.6,10.1,42.5,60.2,70.3,NA,52.7,36.9,26.7,18.6,10.7,34.8,NA,6.5,10.2,0,91.1,22.2,18.2,24.9,90,16.5,NA,NA,NA,9.6,24,68.1,NA,NA,12.3,NA,12.5,94.5,NA,NA,NA,NA,NA,NA,NA,11.5,77.1,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6,94.7,0.2,35.9
Albania,2007,Size,NA,Large (100+),Average,14.5,12.1,14.5,NA,NA,NA,NA,0,NA,28,30,NA,NA,NA,82.3,61.1,10.9,52.2,0,48.1,0.7,31,11.2,NA,NA,NA,NA,NA,0.7,14.4,69.9,53.3,NA,22.3,NA,163.4,99.4,67.8,69.1,NA,NA,NA,NA,NA,12.4,71.9,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,94.8,0.1,42.6
Albania,2007,Size,NA,Medium (20-99),Average,36.2,27.9,24.8,28.8,27.5,59.3,13.3,22.1,29.5,62.3,37,14.3,15,5.1,52.9,78.6,9.9,35.4,0,71.3,1.2,19.3,10.9,60,23.3,NA,NA,NA,14,33.4,64.3,20,47.9,15.1,NA,40.4,96.9,75.7,70,NA,NA,NA,NA,NA,11.6,73.3,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.6,80.9,0.4,51.4
Albania,2007,Size,NA,Small (5-19),Average,24.6,21.7,22.3,65.4,6.2,13.3,40.6,28.9,26.8,58.4,38.9,17.4,17.4,0.8,44.2,70.1,6.8,7.3,0.1,93.1,25.9,17.5,26.7,60,20.6,NA,NA,NA,10.3,20.8,69.5,12.5,70.1,12.1,NA,8.7,96,70.5,72.7,NA,NA,NA,NA,NA,7.8,80,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8,91.8,0.2,46.1
Albania,2007,NA,NA,NA,Average,26.5,22.5,22.4,45.4,10.9,21.8,29.2,25.4,27.2,57.7,38,16.1,16.3,1.4,48.4,73.1,7.7,16.5,0,85.4,18.6,18.7,21.2,60,20.5,NA,NA,NA,10.6,23.5,68.3,19.9,54.9,13.4,NA,25,96.4,72.3,71.3,NA,NA,NA,NA,NA,9,77.9,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6,89.4,0.3,47.2
Albania,2013,Exporter Type,NA,Direct exports are 10% or more of sales,Average,35.8,32.5,35.8,NA,NA,NA,NA,NA,NA,25.8,19.9,NA,0,NA,18,74.8,14.1,20.2,0,79.6,0,10,NA,NA,NA,NA,NA,NA,3.7,27.3,73.9,21.4,NA,13.1,NA,62.6,97.9,81.9,79.7,NA,NA,NA,NA,NA,3.5,92.3,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,100,0,9.9
Albania,2013,Exporter Type,NA,Non-exporter,Average,19.7,16.8,17.3,24.1,23.2,0,33.7,10.3,8.2,17.9,20.9,-3.2,3.8,-6.8,23,72,10.5,4.8,0,95.7,5.4,6.8,13.2,NA,5,NA,NA,NA,3.2,12,81.3,26.8,60,12,NA,20.6,97.3,70.9,73.8,NA,NA,NA,NA,NA,1.6,93.6,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7,98.7,0,24.2
Albania,2013,Gender of Top Manager,NA,Top manager is female,Average,24.9,22.3,19.6,NA,NA,NA,NA,NA,NA,21.9,17.3,NA,-0.4,NA,24.3,73.4,10.9,5.1,0,92.6,7.7,4.5,NA,NA,NA,NA,NA,NA,7.6,19.4,78.5,37.4,NA,10.6,NA,32.2,98.8,74.8,87,NA,NA,NA,NA,NA,2.7,89.3,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.9,98.5,0,20.5
Albania,2013,Gender of Top Manager,NA,Top manager is male,Average,18.7,15.8,17,46.3,8.8,0,34.2,7.8,7.6,17.1,19.7,-1.5,4.3,-5.5,22.1,71.9,10.8,6.2,0,93.3,4.9,7.3,8.9,NA,6.4,NA,NA,NA,2.6,12.3,81.1,26,63.6,12.2,NA,23.2,97,72.7,73.6,NA,NA,NA,NA,NA,1.6,94.3,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,98.9,0,24.8
Albania,2013,Location,NA,Durres And Shkoder,Average,25.5,25,25.8,NA,NA,NA,NA,NA,NA,42.9,36,NA,10.9,NA,38.6,71.9,10.4,15.6,0,88.4,0,24.6,NA,NA,NA,NA,NA,NA,0,28.7,68.2,29.2,NA,15.6,NA,49,94.2,79.9,75.7,NA,NA,NA,NA,NA,7.3,79,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,98.1,0,27.2
Albania,2013,Location,NA,Elbasan And Korce,Average,12.5,10.5,12.5,NA,NA,NA,NA,NA,NA,15.3,10.3,NA,NA,NA,42.5,NA,9.7,0,0,100,18.7,2,NA,NA,NA,NA,NA,NA,0,2.9,94.6,27.4,NA,10.8,NA,12.4,95.4,68.9,67.9,NA,NA,NA,NA,NA,0,96.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5,100,0,11.3
Albania,2013,Location,NA,Fier And Vlore,Average,24,19.2,17.6,NA,NA,NA,NA,NA,NA,18.1,45,NA,NA,NA,35.8,68.7,12,12.4,0,86.9,0,7.1,NA,NA,NA,NA,NA,NA,0,22,75.2,66.7,66,16.5,NA,21.1,99.4,68,60.3,NA,NA,NA,NA,NA,1.6,88.9,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.1,100,0,60.9
Albania,2013,Location,NA,Tirana,Average,20.6,17.4,18.4,45.6,13.1,0,NA,9.7,8.6,15.9,15.5,-3.9,2,-6.7,12.4,72.9,10.9,4.8,0,93.4,4,4.4,11.6,NA,NA,NA,NA,NA,4.9,11,81.4,21.2,83,10.9,NA,23.1,97.9,73.5,78.3,NA,NA,NA,NA,NA,0.9,96.2,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.9,98.7,0,19.9
Albania,2013,Ownership Type,NA,10% or more foreign ownership,Average,33.9,33.9,35.6,NA,NA,NA,NA,NA,NA,31,22.3,NA,NA,NA,29.8,79.9,10.6,100,0,22.1,0,14.3,NA,NA,NA,NA,NA,NA,2.3,29.4,67.2,54.3,NA,14.9,NA,61.2,96,90.5,73.5,NA,NA,NA,NA,NA,7.1,91.9,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4,98.1,0,21.6
Albania,2013,Ownership Type,NA,Domestic,Average,19.6,16.6,17.4,41,22.7,0,33.7,8.3,7.7,17.2,19.7,-3,3.8,-6.3,21.6,71.8,10.8,0,0,97.8,5.5,6.9,13,NA,NA,NA,NA,NA,3.2,12.2,81.7,25,60.1,11.9,NA,22.5,97.3,72,74.7,NA,NA,NA,NA,NA,1.3,93.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3,99,0,23.7
Albania,2013,Sector,Manufacturing,All,Average,25.1,23,25.4,NA,NA,NA,NA,0,NA,22.3,20.9,-2.5,4.2,-6.4,31.6,72.5,13,6.3,0,92.1,2.8,8,NA,NA,NA,NA,NA,NA,1.9,16.1,78.7,22.8,63,13.7,NA,33.4,98.9,73.3,74.6,NA,NA,NA,NA,NA,1.9,93.2,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4,99.5,0,27.8
Albania,2013,Sector,Manufacturing,Manufacturing,Average,25.1,23,25.4,NA,NA,NA,NA,0,NA,22.3,20.9,-2.5,4.2,-6.4,31.6,72.5,13,6.3,0,92.1,2.8,8,NA,NA,NA,NA,NA,NA,1.9,16.1,78.7,22.8,63,13.7,NA,33.4,98.9,73.3,74.6,NA,NA,NA,NA,NA,1.9,93.2,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4,99.5,0,27.8
Albania,2013,Sector,Services,All,Average,18,14.9,14.9,11,18.7,0,33.8,12.7,0,15.6,19.7,-4.1,3.1,-6.7,17.5,NA,9.6,6.2,0,93.5,6.2,7.1,9.7,NA,7.1,NA,NA,NA,3.8,11.8,81.9,29.2,NA,11.2,NA,20.9,96.4,NA,NA,NA,NA,NA,NA,NA,1.6,93.4,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,98.6,0,21.9
Albania,2013,Sector,Services,Other Services,Average,20.5,16.7,16,NA,NA,NA,33.8,17.8,0,16.4,23.5,-3.3,3.9,-6.4,19.9,NA,10,4.8,0,95.7,7.4,6.9,NA,NA,NA,NA,NA,NA,4.9,9.8,83.1,28.7,NA,11.4,NA,22.5,96.5,NA,NA,NA,NA,NA,NA,NA,1.3,93.1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,98.6,0,22.5
Albania,2013,Sector,Services,Retail,Average,11.4,9.9,11.8,NA,0,0,NA,NA,NA,13.7,10.3,-6.8,1,-7.6,11.1,NA,8.8,9.9,0,87.6,3,7.8,5.5,NA,NA,NA,NA,NA,0.8,17.3,78.6,30.5,NA,10.7,NA,16.7,96.3,NA,NA,NA,NA,NA,NA,NA,2.3,94.1,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6,98.7,0,20.3
Albania,2013,Size,NA,Large (100+),Average,33.6,27.5,24.4,NA,NA,NA,NA,NA,NA,25.4,35.6,NA,NA,NA,34.4,76.7,15.7,23.4,0,78.3,0,14.2,NA,NA,NA,NA,NA,NA,9.4,18.7,78.3,46.2,NA,16.3,NA,187.9,94.4,89.7,73.5,NA,NA,NA,NA,NA,0,91,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,100,0,3.3
Albania,2013,Size,NA,Medium (20-99),Average,38.4,34.6,35.5,NA,NA,NA,NA,NA,NA,29.6,25.1,NA,-0.2,NA,30.5,75.1,13.5,7.4,0,92.2,0,10.5,NA,NA,NA,NA,NA,NA,2.9,11.8,86.5,28.8,NA,15.5,NA,40.2,98.8,77.1,71.3,NA,NA,NA,NA,NA,1.6,92.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,100,0,16.2
Albania,2013,Size,NA,Small (5-19),Average,14.6,12.4,13.5,6.1,25.7,0,NA,7.9,9.4,14.8,17.7,-0.9,3.7,-5.3,19,70.1,9.7,4.5,0,94.5,6.8,6,15.3,NA,NA,NA,NA,NA,2.7,13.1,79.6,25,62.1,10.8,NA,7.9,97,68.3,76.7,NA,NA,NA,NA,NA,1.8,93.8,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4,98.5,0,27.5
Albania,2013,NA,NA,NA,Average,20.4,17.6,18.4,39.5,20.7,0,31.9,7.5,6.9,17.8,20.1,-3.5,3.5,-6.6,22.1,72.5,10.8,6.2,0,93.1,5.1,7.4,12.2,NA,6.4,NA,NA,NA,3.2,13.2,80.9,27.1,63,12.1,NA,25,97.2,73.3,74.6,NA,NA,NA,NA,NA,1.7,93.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3,98.9,0,23.8
Albania,2019,Exporter Type,NA,Direct exports are 10% or more of sales,Average,46.6,39,40.5,3,6.2,14,32.2,39.5,15.6,22,47.7,4.4,2.4,4.6,70.7,83,15.1,23.9,0,78.2,1.7,3.5,4,30,9.1,NA,NA,NA,17.3,30.8,63,51.6,46.3,20.8,NA,88.2,99.6,85.8,79.2,73.6,NA,NA,NA,NA,8.4,78.2,38.3,44.2,63.8,24.9,57,45.4,21.7,33.1,64.5,35.7,47.4,94.6,0.2,34.9
Albania,2019,Exporter Type,NA,Non-exporter,Average,34.3,28.5,33.8,18.5,9,17.8,13.7,12.8,8.7,33.4,42.9,2.9,8,-4.1,39.9,75.9,12.5,2.1,0,97.2,42.6,2.1,11,14,4.6,NA,NA,NA,16.9,15.5,76.5,45.2,37.7,16.2,NA,18.8,97.8,59.6,84.7,67.7,NA,NA,NA,NA,7.6,82,22.6,44.2,78.9,16.3,47.7,48,36.4,37.8,66,42.3,44.4,92.2,0.3,37.7
Albania,2019,Gender of Top Manager,NA,Top manager is female,Average,21.9,15.5,17.1,NA,0.8,60.5,1.3,18.3,0.7,19.9,45.1,-6,3.4,-9.1,54.2,83.3,12.2,12,0.1,88.5,53.5,3.9,4,7,10.7,NA,NA,NA,16.7,12.8,80.6,47.3,46.2,17.5,NA,32.7,98.2,75.3,82.1,88.2,NA,NA,NA,NA,2.2,84.3,26.7,38.8,71.3,15,39.5,36.4,19.2,35,71,30,51.7,93,0.1,31.6
Albania,2019,Gender of Top Manager,NA,Top manager is male,Average,39.4,33.3,38.5,15.9,10.5,13.5,22.7,16.2,12.5,34,43.1,5.1,7.8,-1.4,42.2,77.8,13.1,3.8,0,95.7,32.7,2,13.3,30,6.5,NA,NA,NA,17,18.8,73.2,46,39.6,16.7,NA,28.3,98.1,69.4,82.3,64.4,NA,NA,NA,NA,8.8,80.8,24.4,45.8,72.8,20.7,54.8,49.9,33.7,36.3,64.2,41.9,43.2,92.5,0.4,38.4
Albania,2019,Location,NA,Central Albania,Average,37.6,29.7,34.7,23.1,9.7,0.7,10.4,21.2,10.5,33.1,43.3,-0.3,10.5,-10,46,81.6,10.4,5.7,0,94.6,45.4,1.8,12.4,7,4.9,NA,NA,NA,18.5,21.5,72.4,50.7,50.2,14.7,NA,25.5,98.7,70.3,82.4,72,NA,NA,NA,NA,10.2,82,24.3,42.5,81,23.3,43.5,42.5,32.5,29,70.5,47.9,35.4,96.5,0.1,37.6
Albania,2019,Location,NA,North Albania,Average,36.8,34.1,38.8,1.2,0,60,37.3,2,13.9,43.9,37,9.3,5.9,5.1,50,74.5,16.3,7.8,0.1,93.5,19.5,3.7,10.2,30,16.8,NA,NA,NA,10.7,18.6,77.4,58.3,39.7,20,NA,32.7,97.5,69.2,79.3,51.8,NA,NA,NA,NA,4.2,84.5,22.2,47.3,77.6,18.2,62,58.9,32.5,44.4,54.9,40.9,57.2,91.4,0.3,49.1
Albania,2019,Location,NA,Southern Albania,Average,31.7,26.2,30,1.8,10.3,6.7,3.7,9.5,1.2,13.7,50.6,3.1,1.8,2.8,34.1,79.4,15.4,1.7,0,94.7,32.2,2.2,7.3,30,2.1,NA,NA,NA,19.8,7.8,76.7,22.8,20.7,19.1,NA,34.3,96.9,73.6,85.3,65.8,NA,NA,NA,NA,5.2,76.9,28.8,43.9,40.3,12.8,49.5,35.3,23.3,38.9,69.9,18.3,54.4,84.2,0.8,24.4
Albania,2019,Ownership Type,NA,10% or more foreign ownership,Average,29.5,28.6,12.4,NA,NA,0,13.1,NA,0,33.8,43.5,NA,NA,NA,59.8,87.9,11.2,100,0,11.3,0,2.6,NA,NA,11.8,NA,NA,NA,17,24.5,61.1,30,50.1,15.4,NA,78.3,100,92.9,76.6,79.7,NA,NA,NA,NA,4.8,77.7,55.7,34.1,61.1,15.9,40.4,41.3,24.4,30.5,55.3,15.5,27.2,96.2,0.3,45.1
Albania,2019,Ownership Type,NA,Domestic,Average,36.4,30.1,35.3,5.2,8.9,19.7,16.9,13.7,11,31.5,43.5,3.3,7.2,-2.6,43.5,77.9,13,0,0,99,38.5,2.3,10.8,14,5.4,NA,NA,NA,16.9,17.4,75.3,47.2,41.2,17,NA,26.4,98,68.4,82.8,67.9,NA,NA,NA,NA,7.9,81.6,23.1,46.4,74.4,20.1,53.2,47.8,31.5,36.8,66.9,43.4,45.8,92.4,0.3,36.8
Albania,2019,Sector,Manufacturing,All,Average,42.7,32.7,38.6,1.8,8.2,22.9,31,30.2,16.1,28.8,43.6,8.3,6.4,3.3,59.4,78.8,15.7,9.2,0,91.2,28.6,3.5,8.8,30,6.6,NA,NA,NA,19.1,17.5,75.3,42.3,42.2,19.7,NA,60.6,99.2,70.9,82.2,69.1,NA,NA,NA,NA,8.4,76.3,33.3,47.9,64.6,23.4,56.9,48.8,30.9,34.7,72.2,43.7,53,92.2,0.6,41.2
Albania,2019,Sector,Manufacturing,Manufacturing,Average,42.7,32.7,38.6,1.8,8.2,22.9,31,30.2,16.1,28.8,43.6,8.3,6.4,3.3,59.4,78.8,15.7,9.2,0,91.2,28.6,3.5,8.8,30,6.6,NA,NA,NA,19.1,17.5,75.3,42.3,42.2,19.7,NA,60.6,99.2,70.9,82.2,69.1,NA,NA,NA,NA,8.4,76.3,33.3,47.9,64.6,23.4,56.9,48.8,30.9,34.7,72.2,43.7,53,92.2,0.6,41.2
Albania,2019,Sector,Services,All,Average,33.8,29,33.2,25.1,9.3,2,11.6,10.1,6.1,32.6,43.4,1.1,7.3,-4.9,39.2,NA,11.9,4,0,95.5,39.2,1.8,11.9,14,7.2,NA,NA,NA,16.2,17.8,74.3,47.6,NA,15.9,NA,18.2,97.7,NA,NA,68.3,NA,NA,NA,NA,7.4,83.2,21.9,40.6,78.5,16.8,47,45.4,30.3,37,60.7,36.3,41.8,92.7,0.2,35.8
Albania,2019,Sector,Services,Other Services,Average,34.8,30.4,33.3,33.5,10.8,NA,14.2,11.2,7.1,33.6,46.4,1.3,8.5,-6.4,40.9,NA,12,3.5,0,95.7,40.4,1.7,13.4,25,NA,NA,NA,NA,17.6,20.2,73.6,48.9,NA,15.9,NA,18.7,97.1,NA,NA,67.9,NA,NA,NA,NA,9.2,81.2,23,38.2,81.7,16.9,44.5,43.8,30.4,32.6,60.7,28,43.5,92.2,0.2,39.5
Albania,2019,Sector,Services,Retail,Average,30.1,24.1,32.6,NA,0,1.4,0.5,0,0,28.9,32.9,0.5,3.7,-0.3,33.5,NA,11.5,5.7,0,94.8,35.1,2.3,2.5,NA,10.7,NA,NA,NA,10.9,9.6,76.7,43.1,NA,16.1,NA,16.6,99.7,NA,NA,69.4,NA,NA,NA,NA,1.2,90.8,18.1,46,69.2,16.5,54.2,50.2,30,52.1,60.6,62.8,35.2,94.8,0.2,23.8
Albania,2019,Size,NA,Large (100+),Average,36.8,25.2,27.5,2.6,4.6,29.4,5.8,30.9,1.3,36.1,25.7,1.4,1.9,-0.1,64.5,82.5,19.2,20.7,0.2,81.1,0,2.8,10.2,30,4.3,NA,NA,NA,15.4,10.7,81.4,69.5,43.6,26.5,NA,215.7,99.6,86.2,72.8,64.4,NA,NA,NA,NA,3.8,86.9,25.6,53.3,75.8,31.5,67.9,64.8,48.8,38.5,71.5,34.3,29.5,97.1,0.4,44.3
Albania,2019,Size,NA,Medium (20-99),Average,35,26.4,31,2.4,0,9.2,22.5,29.4,28.1,32.2,45.1,6.1,13.7,-5.8,57.8,88.8,15.6,10.2,0,90.5,6.7,2.8,6.7,30,4.2,NA,NA,NA,21.4,30.8,65.4,54.3,37.6,19.4,NA,42.6,98.8,73.7,81.3,79.1,NA,NA,NA,NA,5.2,86.3,29.3,41.5,71.7,16.9,47.5,42.6,26.1,35.5,64.1,40.8,49.5,92.1,0.2,34.6
Albania,2019,Size,NA,Small (5-19),Average,36.5,31.7,36.4,26.7,12,20,14.3,9.3,0,31,44,1.8,4.6,-1.6,37.7,71.4,11.3,2.2,0,96.9,50.9,2.1,12.3,7,10.4,NA,NA,NA,15.3,13.2,77.5,41.3,46.5,15.1,NA,8.7,97.7,62.4,86.7,65.2,NA,NA,NA,NA,9,79.1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4,92.4,0.3,37.5
Albania,2019,NA,NA,NA,Average,36.1,30,34.6,15.3,8.9,16.3,16.8,16.8,9.8,31.6,43.4,3.1,7.1,-2.7,44.4,78.8,12.9,5.3,0,94.4,36.5,2.3,10.9,14,6.8,NA,NA,NA,16.9,17.7,74.6,46.2,42.2,16.9,NA,29.1,98.1,70.9,82.2,68.5,NA,NA,NA,NA,7.7,81.4,24.8,44.2,72.5,19.6,51.5,47,30.5,36,65.4,39.6,44.7,92.6,0.3,37.2
Angola,2006,Exporter Type,NA,Direct exports are 10% or more of sales,Average,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,2006,Exporter Type,NA,Non-exporter,Average,19.3,15.9,14.8,40.9,10.3,24.9,19.8,13,13.2,47.1,36.2,-26.9,8.1,-33.1,36.7,65.3,7.9,14,0.5,90.2,69,7.1,24.4,25,24.3,NA,NA,NA,33.4,23.1,69,19.4,46,8,NA,15,96.2,79.3,84,NA,NA,NA,NA,NA,12.2,82.6,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.2,NA,NA,26.9
Angola,2006,Location,NA,Benguela,Average,1.4,0.4,1.4,0,0,0,0,NA,NA,0,0,-33,1.8,-34.3,35.1,77,13.7,11.3,0,94.4,61.2,4.2,8,8,8.5,NA,NA,NA,39,0,96.5,29.8,81.4,9.6,NA,14,100,88,90.3,NA,NA,NA,NA,NA,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.5,NA,NA,7.7
Angola,2006,Location,NA,Huambo,Average,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,47.9,79.4,19.6,0,0,100,87.4,3.6,9.7,NA,NA,NA,NA,NA,22.7,0,96.8,14.3,NA,11.7,NA,12.5,100,84,85.7,NA,NA,NA,NA,NA,0,100,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3,NA,NA,9.5
Angola,2006,Location,NA,Luanda,Average,24.1,19.9,19.5,50.3,19.6,27.8,28.1,13.8,13.2,57.2,43.6,-25.6,10.6,-33.8,35.9,62.8,6.3,16.1,0.6,88.1,68.2,7.8,40.1,40,27.2,NA,NA,NA,33.2,28.1,63,18.3,34.6,7.5,NA,15.4,95.1,77.7,83.2,NA,NA,NA,NA,NA,14.8,78.9,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,NA,NA,30.5
